Workflow ID;Run ID;Candidate Detection (in ms);Program Generation & Workflow Rewrite (in ms);Candidate 1;Candidate 2;Candidate 3;Candiate 4;Candidate 5;Candidate 6;;Median;Workflow ID;Candidate Detection;Program Generation & Rewrite
2;9;450;106235;61079;45156;;;;;;;;;
2;10;482;115695;70764;44931;;;;;;;;;
2;11;436;102878;59503;43375;;;;;;;;;
2;12;412;106010;59814;46196;;;;;;;;;
2;13;397;111080;68885;42195;;;;;;;;;
2;14;437;108075;65295;42780;;;;;;;;;
2;15;422;115055;70722;44333;;;;;;;;;
2;16;455;109513;67768;41745;;;;;;;;;
2;17;437;107056;61674;45382;;;;;;;;;
2;18;434;107260;59089;48171;;;;;;;;;
2;19;451;108608;63117;45491;;;;;;;;;
2;20;463;107121;65850;41271;;;;;;;;;
2;21;418;113963;70562;43401;;;;;;;;;
2;22;385;112402;65889;46513;;;;;;;;;
2;23;442;112855;68657;44198;;;;;;;;;
2;24;423;107863;65024;42839;;;;;;;;;
2;25;440;112760;69043;43717;;;;;;;;;
2;26;528;108969;65380;43589;;;;;;;;;
2;27;420;106080;64555;41525;;;;;;;;;
2;28;397;115532;69822;45710;;;;;;;;;
2;29;412;108600;65597;43003;;;;;;;;;
2;30;377;108232;68162;40070;;;;;;;;;
2;31;423;109973;64743;45230;;;;;;;;;
2;32;430;100530;59241;41289;;;;;;;;;
2;33;421;110581;65168;45413;;;;;;;;;
2;34;427;114802;70501;44301;;;;;;;;;
2;35;394;103135;60359;42776;;;;;;;;;
2;36;407;107509;66627;40882;;;;;;;;;
2;37;506;106817;64373;42444;;;;;;;;;
2;38;429;105408;59718;45690;;;;;;;;;
2;39;434;111363;69149;42214;;;;;;;;;
2;40;403;109929;66263;43666;;;;;;;;;
2;41;469;108831;63221;45610;;;;;;;;;
2;42;498;109864;63755;46109;;;;;;;;;
2;43;436;112062;68447;43615;;;;;;;;;
2;44;470;101058;59848;41210;;;;;;;;;
2;45;418;105767;64536;41231;;;;;;;;;
2;46;445;109095;62917;46178;;;;;;;;;
2;47;515;103755;59376;44379;;;;;;;;;
2;48;435;107939;65382;42557;;;;;;;;;
2;49;439;111299;69651;41648;;;;;;;;;
2;50;424;108635;63832;44803;;;;;;;;;
3;1;557;221450;62837;50437;64786;43390;;;;;;;
3;2;476;228980;70538;45831;67836;44775;;;;;;;
3;3;481;217162;62436;46033;60769;47924;;;;;;;
3;4;469;218668;63784;49864;58916;46104;;;;;;;
3;5;497;224871;70021;39294;67994;47562;;;;;;;
3;6;548;214337;67127;41263;62841;43106;;;;;;;
3;7;451;214833;59834;48084;65059;41856;;;;;;;
3;8;458;219659;68582;48180;62016;40881;;;;;;;
3;9;461;213531;64093;43397;63265;42776;;;;;;;
3;10;524;219684;69141;43886;59601;47056;;;;;;;
3;11;499;210770;60821;48934;61993;39022;;;;;;;
3;12;462;219606;61230;40349;70489;47538;;;;;;;
3;13;573;206196;61015;44825;61760;38596;;;;;;;
3;14;453;210302;64013;40807;64987;40495;;;;;;;
3;15;486;225282;69760;39554;69611;46357;;;;;;;
3;16;585;220148;60027;44941;69457;45723;;;;;;;
3;17;469;206681;63504;38737;66357;38083;;;;;;;
3;18;460;221726;64890;49707;65463;41666;;;;;;;
3;19;502;219676;64302;45936;67024;42414;;;;;;;
3;20;470;219900;70814;45476;62228;41382;;;;;;;
3;21;455;207575;66877;39529;62027;39142;;;;;;;
3;22;502;206865;64284;39103;62390;41088;;;;;;;
3;23;550;218380;61618;49531;69322;37909;;;;;;;
3;24;575;227318;62992;47452;67766;49108;;;;;;;
3;25;468;220128;66012;45391;67873;40852;;;;;;;
3;26;571;212952;62219;50286;62349;38098;;;;;;;
3;27;451;235416;70774;50604;65891;48147;;;;;;;
3;28;437;225861;63558;48823;68937;44543;;;;;;;
3;29;450;223214;69476;43735;65015;44988;;;;;;;
3;30;590;221437;63604;44967;66077;46789;;;;;;;
3;31;548;227831;69193;48690;70339;39609;;;;;;;
3;32;485;224915;66342;46450;67279;44844;;;;;;;
3;33;559;225576;61977;50338;66873;46388;;;;;;;
3;34;490;220369;69529;43585;65203;42052;;;;;;;
3;35;387;211279;68108;39030;66065;38076;;;;;;;
3;36;408;211542;63574;42896;63763;41309;;;;;;;
3;37;448;222566;70623;45501;59933;46509;;;;;;;
3;38;409;223534;62311;50907;64671;45645;;;;;;;
3;39;538;224287;66395;49754;66829;41309;;;;;;;
3;40;438;226688;70478;40462;70750;44998;;;;;;;
3;41;530;212000;60790;44793;64186;42231;;;;;;;
3;42;497;223429;69159;45644;64672;43954;;;;;;;
3;43;476;219630;60659;44291;67973;46707;;;;;;;
3;44;432;216011;59843;43489;64682;47997;;;;;;;
3;45;492;219690;68518;42217;59996;48959;;;;;;;
3;46;474;211907;60462;50795;60928;39722;;;;;;;
3;47;396;208149;59074;42795;61307;44973;;;;;;;
3;48;523;216786;66038;48403;62259;40086;;;;;;;
3;49;562;216223;60782;39225;66528;49688;;;;;;;
3;50;541;217155;59368;45363;67423;45001;;;;;;;
4;1;740;318431;67766;43589;63784;42677;58967;41648;;;;;
4;2;696;326876;62901;47232;67590;44254;66165;38734;;;;;
4;3;775;319307;61376;42644;61079;45646;61483;47079;;;;;
4;4;755;327420;67732;46489;68431;39639;62397;42732;;;;;
4;5;750;342226;70829;50610;70044;38846;69791;42106;;;;;
4;6;679;322419;62453;41179;69133;39414;64935;45305;;;;;
4;7;692;322856;60894;42976;60803;39885;67470;50828;;;;;
4;8;695;325193;61957;41336;65290;43202;69823;43585;;;;;
4;9;804;324749;63885;42682;67768;39551;65062;45801;;;;;
4;10;794;327033;60922;39236;65673;50538;64085;46579;;;;;
4;11;783;332331;65773;45481;64746;46904;68402;41025;;;;;
4;12;736;329076;62515;47615;64581;47719;59753;46893;;;;;
4;13;781;330176;61199;50545;66599;39774;66893;45166;;;;;
4;14;721;313993;69055;42131;61662;42714;59737;38694;;;;;
4;15;725;333803;65464;40138;68696;42880;66018;50607;;;;;
4;16;730;322947;64148;40168;63217;47552;69810;38052;;;;;
4;17;743;322372;66753;47746;59167;39046;67015;42645;;;;;
4;18;779;323707;63185;47603;69508;39815;62653;40943;;;;;
4;19;706;323988;66249;38315;62264;48878;65629;42653;;;;;
4;20;710;332555;61674;41496;70709;44531;70182;43963;;;;;
4;21;774;308144;59879;40640;66062;38924;64120;38519;;;;;
4;22;743;337088;67136;40200;68102;46507;68096;47047;;;;;
4;23;673;310829;59346;39194;67176;39127;61715;44271;;;;;
4;24;638;326349;68715;46302;61653;40233;62751;46695;;;;;
4;25;741;310171;59067;40216;65116;41694;59865;44213;;;;;
4;26;704;320103;59672;38795;66122;44447;70659;40408;;;;;
4;27;796;319834;59024;43284;61958;44260;66259;45049;;;;;
4;28;793;322340;70014;45956;59109;38276;65928;43057;;;;;
4;29;796;323192;62986;38233;70648;44272;60648;46405;;;;;
4;30;776;319248;68736;41299;60757;43692;62533;42231;;;;;
4;31;810;314084;60223;45057;63623;39607;61047;44527;;;;;
4;32;830;326163;59117;41021;65547;42494;70147;47837;;;;;
4;33;783;328297;63659;38506;66865;46048;70934;42285;;;;;
4;34;821;332388;69586;44938;68930;39926;65283;43725;;;;;
4;35;757;318080;59870;47531;66187;38396;62108;43988;;;;;
4;36;751;315680;70006;39851;59209;40318;67821;38475;;;;;
4;37;792;318011;61405;43110;60847;47826;65549;39274;;;;;
4;38;779;325182;67184;39507;70149;45848;60402;42092;;;;;
4;39;780;335758;68025;46897;66429;47675;67622;39110;;;;;
4;40;662;318916;61223;40659;68673;43226;65104;40031;;;;;
4;41;865;321999;64752;41343;63776;46956;61650;43522;;;;;
4;42;797;324393;68093;38708;67269;44119;64025;42179;;;;;
4;43;720;321186;59894;41567;66198;38560;69315;45652;;;;;
4;44;730;324035;64358;46359;68268;45766;59969;39315;;;;;
4;45;733;322715;68670;41673;69065;40713;63612;38982;;;;;
4;46;707;333197;68540;44648;67333;46269;65772;40635;;;;;
4;47;797;319038;67864;40830;64809;42033;64312;39190;;;;;
4;48;782;321526;66823;39128;68160;45987;59536;41892;;;;;
4;49;657;339790;68486;45174;69417;45691;70035;40987;;;;;
4;50;716;344674;69871;46120;70882;43927;65975;47899;;;;;
5;1;351;322922;163822;159100;;;;;;;;;
5;2;338;324231;159337;164894;;;;;;;;;
5;3;416;319379;160551;158828;;;;;;;;;
5;4;390;312270;158544;153726;;;;;;;;;
5;5;454;313566;150363;163203;;;;;;;;;
5;6;453;317845;165618;152227;;;;;;;;;
5;7;307;324513;159523;164990;;;;;;;;;
5;8;305;313171;153556;159615;;;;;;;;;
5;9;308;315517;161040;154477;;;;;;;;;
5;10;415;313588;152403;161185;;;;;;;;;
5;11;405;306618;151619;154999;;;;;;;;;
5;12;370;303378;152868;150510;;;;;;;;;
5;13;425;314651;159477;155174;;;;;;;;;
5;14;395;313351;153661;159690;;;;;;;;;
5;15;987;315201;164736;150465;;;;;;;;;
5;16;394;311718;159666;152052;;;;;;;;;
5;17;424;305864;152611;153253;;;;;;;;;
5;18;399;305952;152710;153242;;;;;;;;;
5;19;396;314423;150112;164311;;;;;;;;;
5;20;401;313709;156454;157255;;;;;;;;;
5;21;398;307538;156561;150977;;;;;;;;;
5;22;435;315577;155807;159770;;;;;;;;;
5;23;439;323216;159556;163660;;;;;;;;;
5;24;417;311817;156591;155226;;;;;;;;;
5;25;418;316969;159147;157822;;;;;;;;;
5;26;402;319491;155404;164087;;;;;;;;;
5;27;446;320980;160072;160908;;;;;;;;;
5;28;477;313239;153562;159677;;;;;;;;;
5;29;470;319404;161480;157924;;;;;;;;;
5;30;464;313189;153238;159951;;;;;;;;;
5;31;435;317064;154199;162865;;;;;;;;;
5;32;530;308683;152944;155739;;;;;;;;;
5;33;433;320938;158899;162039;;;;;;;;;
5;34;469;323609;158597;165012;;;;;;;;;
5;35;288;305078;151128;153950;;;;;;;;;
5;36;326;310771;152578;158193;;;;;;;;;
5;37;326;305763;151674;154089;;;;;;;;;
5;38;312;310825;155734;155091;;;;;;;;;
5;39;363;327327;162852;164475;;;;;;;;;
5;40;331;317224;158737;158487;;;;;;;;;
5;41;434;315172;157942;157230;;;;;;;;;
5;42;371;308988;151141;157847;;;;;;;;;
5;43;386;319999;161896;158103;;;;;;;;;
5;44;368;307851;155834;152017;;;;;;;;;
5;45;387;313700;157392;156308;;;;;;;;;
5;46;360;328760;165203;163557;;;;;;;;;
5;47;367;309270;154347;154923;;;;;;;;;
5;48;363;322063;161844;160219;;;;;;;;;
5;49;381;320434;155318;165116;;;;;;;;;
5;50;406;316122;165821;150301;;;;;;;;;
6;1;617;621756;163768;156248;150805;150935;;;;;;;
6;2;605;615117;156798;151865;155129;151325;;;;;;;
6;3;589;633775;152377;155488;162814;163096;;;;;;;
6;4;557;648139;160436;163693;160166;163844;;;;;;;
6;5;574;634364;154043;163932;152181;164208;;;;;;;
6;6;565;627815;154497;157050;162121;154147;;;;;;;
6;7;601;635847;154958;157406;161509;161974;;;;;;;
6;8;585;641197;162234;158161;156287;164515;;;;;;;
6;9;573;631267;153233;163724;162823;151487;;;;;;;
6;10;649;637725;158818;156830;163008;159069;;;;;;;
6;11;543;625359;150679;160348;162938;151394;;;;;;;
6;12;519;642048;162222;164608;153818;161400;;;;;;;
6;13;580;626542;162621;154587;150666;158668;;;;;;;
6;14;559;614321;150606;154604;157360;151751;;;;;;;
6;15;546;617345;164397;150072;151025;151851;;;;;;;
6;16;580;624362;162936;157198;153115;151113;;;;;;;
6;17;569;643451;151023;162964;164969;164495;;;;;;;
6;18;591;628940;157233;156577;150629;164501;;;;;;;
6;19;539;627664;162545;157236;156917;150966;;;;;;;
6;20;556;630919;156954;159831;156138;157996;;;;;;;
6;21;490;633969;151906;152253;164961;164849;;;;;;;
6;22;595;637026;164286;157173;160603;154964;;;;;;;
6;23;563;628980;162120;155517;155794;155549;;;;;;;
6;24;598;649429;161575;162239;162604;163011;;;;;;;
6;25;574;646520;164308;161760;163021;157431;;;;;;;
6;26;529;640933;154911;161205;164086;160731;;;;;;;
6;27;643;637687;164221;153163;157152;163151;;;;;;;
6;28;581;648325;164338;164326;160598;159063;;;;;;;
6;29;559;617409;151328;154259;152006;159816;;;;;;;
6;30;605;633811;162944;152255;156600;162012;;;;;;;
6;31;618;627991;161759;150395;162612;153225;;;;;;;
6;32;625;643855;161335;156555;161931;164034;;;;;;;
6;33;625;631975;159011;157497;163623;151844;;;;;;;
6;34;621;629068;161671;156104;159550;151743;;;;;;;
6;35;587;633650;157437;150679;162162;163372;;;;;;;
6;36;572;625533;150531;161798;152074;161130;;;;;;;
6;37;619;624776;150259;159741;157966;156810;;;;;;;
6;38;643;616087;156301;158152;150850;150784;;;;;;;
6;39;694;625183;157562;157133;153233;157255;;;;;;;
6;40;445;631114;156278;160996;158626;155214;;;;;;;
6;41;709;640110;153347;161870;160442;164451;;;;;;;
6;42;635;648607;158524;162992;163224;163867;;;;;;;
6;43;658;623306;159209;158482;153842;151773;;;;;;;
6;44;594;633179;157325;152806;162303;160745;;;;;;;
6;45;626;631659;157180;156799;152813;164867;;;;;;;
6;46;640;618891;152912;154367;157520;154092;;;;;;;
6;47;623;628171;161601;152574;153338;160658;;;;;;;
6;48;647;642185;155434;163578;159628;163545;;;;;;;
6;49;485;631362;159306;155327;161370;155359;;;;;;;
6;50;441;635904;164305;157866;157323;156410;;;;;;;
7;1;689;948715;158574;160663;163370;161046;154067;150995;;;;;
7;2;714;934665;161658;157946;157214;157868;151516;148463;;;;;
7;3;727;919141;149064;153583;151478;160312;148263;156441;;;;;
7;4;711;937339;151316;157481;155128;162789;161158;149467;;;;;
7;5;710;945225;160669;155505;161425;151684;159768;156174;;;;;
7;6;720;928403;149744;160431;149443;154114;153019;161652;;;;;
7;7;733;932226;148234;148019;159474;157564;161255;157680;;;;;
7;8;784;917098;149370;157524;156004;152274;148584;153342;;;;;
7;9;659;936264;160964;155676;159099;150479;151684;158362;;;;;
7;10;657;941409;156352;155458;153215;158029;161011;157344;;;;;
7;11;631;914710;151497;156978;151806;149992;150218;154219;;;;;
7;12;661;930790;160242;148681;149423;156637;154871;160936;;;;;
7;13;655;918802;157736;149070;154291;148256;150892;158557;;;;;
7;14;656;922717;150271;159752;154253;151376;157554;149511;;;;;
7;15;640;922635;148357;152008;152935;160283;160979;148073;;;;;
7;16;642;934521;151033;157933;156175;156164;152760;160456;;;;;
7;17;659;919312;151476;154393;149645;161448;154036;148314;;;;;
7;18;654;934043;157698;153526;161364;149780;157933;153742;;;;;
7;19;644;932737;149531;148230;161324;152685;160522;160445;;;;;
7;20;701;922581;156415;154196;148861;160633;152437;150039;;;;;
7;21;673;930086;148442;155009;161566;154771;153698;156600;;;;;
7;22;708;940191;154541;156599;158352;156875;154690;159134;;;;;
7;23;754;928158;151011;160866;154397;153190;160095;148599;;;;;
7;24;852;955056;156962;160798;161421;159997;157457;158421;;;;;
7;25;879;931005;153998;148838;159790;152521;159086;156772;;;;;
7;26;892;928307;149259;159806;154333;154281;151909;158719;;;;;
7;27;729;947842;160216;159071;159982;151660;155168;161745;;;;;
7;28;723;938570;155096;155892;159195;161682;151608;155097;;;;;
7;29;739;923918;151339;150637;151507;159123;156141;155171;;;;;
7;30;713;925961;155159;154328;158971;149918;158024;149561;;;;;
7;31;837;924431;156713;151664;156271;148155;152090;159538;;;;;
7;32;776;921815;152646;148195;151259;158289;154263;157163;;;;;
7;33;764;930715;150416;153587;160497;157690;156956;151569;;;;;
7;34;733;918201;150558;153484;151469;157312;152320;153058;;;;;
7;35;767;941138;160636;155126;150385;155922;157596;161473;;;;;
7;36;785;929746;150645;159451;150554;153991;153751;161354;;;;;
7;37;885;926531;156562;153898;151209;148625;157186;159051;;;;;
7;38;778;924451;152697;148624;154348;155957;161553;151272;;;;;
7;39;784;929651;159805;158494;149645;157835;155737;148135;;;;;
7;40;788;912184;151137;153214;150485;149302;155232;152814;;;;;
7;41;767;921193;154038;148593;154376;149363;158208;156615;;;;;
7;42;793;922913;150410;153397;161361;151654;149936;156155;;;;;
7;43;812;935749;154457;159251;154559;157733;156178;153571;;;;;
7;44;801;938478;148663;160185;157611;158705;156744;156570;;;;;
7;45;837;946633;161155;160133;152867;152467;159315;160696;;;;;
7;46;858;930308;156139;159442;149280;158300;156599;150548;;;;;
7;47;796;927690;161378;149368;155626;149459;160088;151771;;;;;
7;48;720;912060;152869;151286;150760;154107;153650;149388;;;;;
7;49;792;913334;148842;151933;151485;155333;150901;154840;;;;;
7;50;743;928735;159202;158282;151242;150645;152393;156971;;;;;
